Title_i,ID_i,Doc_j,ID_j,Cosine Similarity
6,206,156,981,0.5353251
21,420,1222,6107,0.6742277
23,425,678,5665,0.5101982
28,445,58,536,0.5684982
28,445,737,706,0.5523354
30,449,58,536,0.5316241
41,493,295,1936,0.5577924
48,506,267,1735,0.51871
48,506,303,1972,0.577638
48,506,1068,4514,0.5566321
58,536,28,445,0.5684982
58,536,30,449,0.5316241
58,536,737,706,0.5627379
62,549,542,3582,0.8539592
62,549,612,4540,0.5207443
70,570,586,4061,0.5038652
70,570,587,4062,0.5038652
70,570,1021,4060,0.596014
74,592,566,3861,0.5258485
74,592,645,4983,0.6916434
74,592,650,5034,0.5954177
74,592,692,5924,0.5281032
74,592,1101,4851,0.6505686
74,592,1265,6413,0.7874804
85,647,86,649,0.5906873
86,649,85,647,0.5906873
90,661,139,870,0.5785369
90,661,556,3771,0.7293969
90,661,635,4870,0.6508972
90,661,671,5481,0.6283515
90,661,1204,5862,0.5853465
90,661,1213,5935,0.5542333
95,691,361,2390,0.5867705
95,691,951,3413,0.5112678
99,701,410,2714,0.6202416
110,758,146,894,0.5203089
132,833,1185,5733,0.5325982
136,850,596,4185,0.6387776
139,870,90,661,0.5785369
139,870,556,3771,0.6181077
146,894,110,758,0.5203089
147,923,387,2557,0.7537352
150,954,1021,4060,0.5051539
156,981,6,206,0.5353251
158,994,720,499,0.7788191
165,1016,562,3815,0.5621944
165,1016,1266,6420,0.5469957
174,1068,764,1067,0.8907781
176,1076,562,3815,0.6170965
176,1076,1266,6420,0.6189094
177,1083,910,2995,0.6910363
191,1201,990,3833,0.5037442
197,1232,352,2330,0.549468
197,1232,1124,5105,0.5424884
197,1232,1203,5850,0.5222192
201,1308,380,2513,0.5394709
201,1308,780,1309,0.5511053
211,1363,309,2062,0.6465685
212,1364,552,3739,0.6436568
218,1417,792,1416,0.6094918
222,1458,223,1459,0.5456656
223,1459,222,1458,0.5456656
232,1562,529,3505,0.5569922
233,1587,1133,5146,0.5222202
234,1588,907,2938,0.5088305
234,1588,1264,6412,0.5881506
242,1641,465,3096,0.5016049
249,1663,250,1666,0.5139923
250,1666,249,1663,0.5139923
267,1735,48,506,0.51871
267,1735,303,1972,0.5653992
267,1735,1068,4514,0.5156277
269,1755,315,2109,0.5832509
285,1870,534,3525,0.5753372
285,1870,643,4973,0.536836
285,1870,744,808,0.795801
285,1870,783,1330,0.5015182
285,1870,833,1897,0.5879261
285,1870,1263,6411,0.8180722
289,1880,830,1894,0.5717929
289,1880,831,1895,0.6981806
289,1880,832,1896,0.7688016
291,1902,835,1946,0.7255007
291,1902,836,1952,0.5006618
293,1915,519,3424,0.6233017
295,1936,41,493,0.5577924
301,1966,1266,6420,0.5026634
303,1972,48,506,0.577638
303,1972,267,1735,0.5653992
303,1972,328,2193,0.5341366
303,1972,1068,4514,0.6412634
303,1972,1258,6379,0.5361735
309,2062,211,1363,0.6465685
309,2062,607,4469,0.5377166
315,2109,269,1755,0.5832509
323,2167,324,2168,0.8995633
324,2168,323,2167,0.8995633
327,2191,943,3280,0.6389452
328,2193,303,1972,0.5341366
328,2193,723,505,0.5437476
335,2224,338,2239,0.604647
338,2239,335,2224,0.604647
343,2264,356,2360,0.5252572
345,2289,354,2334,0.504063
352,2330,197,1232,0.549468
352,2330,1124,5105,0.61711
352,2330,1203,5850,0.5310781
354,2334,345,2289,0.504063
356,2360,343,2264,0.5252572
361,2390,95,691,0.5867705
366,2409,479,3197,0.6310039
368,2424,860,2425,0.5155954
370,2433,453,3040,0.5835841
370,2433,1119,5067,0.6919057
380,2513,201,1308,0.5394709
380,2513,780,1309,0.7033752
384,2523,714,7,0.5300649
384,2523,811,1635,0.5653769
387,2557,147,923,0.7537352
389,2560,744,808,0.5292854
389,2560,1263,6411,0.540012
406,2687,888,2688,0.5768291
408,2712,409,2713,0.5141647
409,2713,408,2712,0.5141647
410,2714,99,701,0.6202416
416,2747,1015,4023,0.5185763
421,2798,607,4469,0.5500458
428,2852,702,6092,0.5142055
437,2931,906,2932,0.6040555
452,3033,881,2624,0.7567213
453,3040,370,2433,0.5835841
453,3040,1119,5067,0.5128579
462,3079,877,2600,0.5225361
465,3096,242,1641,0.5016049
479,3197,366,2409,0.6310039
497,3296,987,3801,0.5112123
502,3324,553,3757,0.624874
506,3360,1059,4436,0.7606956
515,3406,516,3416,0.5382949
516,3416,515,3406,0.5382949
519,3424,293,1915,0.6233017
524,3459,1029,4152,0.6154552
529,3505,232,1562,0.5569922
530,3508,665,5310,0
