feature_id, dup_id, rank, sim
13,471,1,0.3732
57,923,2,0.2841
365,445,24,0.125
369,656,2,0.2474
370,1021,38,0.123
496,2433,1,0.2297
536,2747,47,0.1398
657,504,4,0.3436
723,3497,49,0.1632
793,678,6,0.2494
824,662,3,0.3074
894,758,1,0.5195
965,862,3,0.3548
994,499,1,0.7746
995,862,9,0.2596
1071,3497,18,0.2234
1350,206,4,0.3368
1383,1048,84,0.1069
1402,847,2,0.309
1409,917,58,0.1013
1417,1416,1,0.6086
1436,1048,2,0.3888
1460,862,4,0.3375
1618,927,1,0.2505
1680,662,8,0.171
1735,1972,1,0.5436
1755,2517,3,0.3776
1797,1521,63,0.097
1870,808,2,0.7219
1878,1446,3,0.4188
1921,917,2,0.3494
1951,817,125,0.0808
1998,1999,1,0.4559
2062,2947,25,0.1707
2139,445,1,0.2377
2167,2168,1,0.8709
2193,1972,2,0.5152
2219,2225,22,0.1703
2308,662,2,0.1925
2372,1099,3,0.1844
2390,691,1,0.586
2415,2211,7,0.2293
2513,1309,1,0.6993
2523,7,2,0.5267
2560,1330,6,0.3778
2561,723,19,0.1408
2617,2211,2,0.4052
2645,1216,3,0.4364
2660,862,4,0.284
2741,2962,16,0.1443
2765,1847,3,0.1484
2798,2947,38,0.1855
2836,2211,2,0.4474
2855,2660,3,0.3007
2887,2364,3,0.2168
2907,2906,1,0.3497
2910,1048,11,0.1629
2917,2364,1,0.3011
2960,2211,3,0.2244
3019,2364,2,0.2045
3033,2624,1,0.7566
3096,1009,10,0.2799
3152,1843,6,0.1766
3200,2225,73,0.1823
3242,1753,2,0.3089
3243,2852,2,0.2794
3439,3548,2,0.2976
3500,3361,1,0.4637
3550,3439,2,0.2239
3757,3324,1,0.6238
3761,3106,33,0.1034
3809,1048,3,0.2289
3828,1834,3,0.4258
3861,1834,8,0.4143
3933,2854,1,0.6105
4055,4054,2,0.91
4056,4054,2,0.91
4058,4057,2,0.9738
4059,4057,2,0.9738
4061,4060,2,0.6571
4062,4060,2,0.6571
4096,7,2,0.2693
4105,4060,34,0.2042
4175,3497,19,0.191
4236,808,5,0.449
4423,420,2,0.441
4469,2947,15,0.2651
4772,4771,1,0.5678
4807,3497,4,0.1683
4828,4827,1,0.766
4915,4763,1,0.5519
4973,808,6,0.4386
4983,1834,7,0.5363
5033,4060,3,0.3755
5034,1834,8,0.4357
5102,808,6,0.4074
5383,610,19,0.2111
5467,4470,649,0.0301
5804,1834,1,0.5508
5822,5823,1,0.8933
5924,1834,6,0.4794
